name,total_coverage,num_samples,avg_chrom_value,avg_interval_value,avg_interval_size,num_intervals
ENCFF000LAB,210608995,1630090340.0,7.739889457238045,21.538977756401824,35.24505226454014,5975562
ENCFF000KYT,92406732,322750781.0,3.4927193507936196,19.66172022650371,110.60276750095454,835483
ENCFF877IHY,20123179,8761394.066806199,0.4353881693745406,3.034348777491196,9.982607112525697,2015824
ENCFF847JMY,248938446,151998660.6238633,0.6105873281777588,10.630235756349464,45.25007502645239,5501393
ENCFF726XVA,19608719,12518585.256433686,0.6384193305250427,3.676645306087061,6.349268523606348,3088343
ENCFF631HEX,248956422,15656403528.159958,62.88812878327741,365.0918083567748,64.41452907971231,3864911
ENCFF321FZQ,248945843,163851013.2315499,0.6581793504041354,1.4681227345066048,6.666052301388891,37345318
ENCFF050CCI,248946328,163025562.69535866,0.6548622910210536,2.406267180648243,19.27405595605373,12916136
ENCFF770CQD,195371622,77326009.20251197,0.3957893598411747,1.5743921128320995,25.90048711654685,7543164
ENCFF376VCU,195371552,101739760.25504415,0.5207501256633522,1.0197289833832917,26.44760851190099,7387116
ENCFF643WMY,195371517,109424808.9942997,0.5600857825877438,1.267956079299403,30.17742510729299,6474095
ENCFF384CMP,195371615,112424350.33019583,0.5754385064083942,1.154285227763735,32.12539983763957,6081531
